41.0, EUR, USD, 1.0792, 1.0792, 2020/05/15 04:18:27, 0, adminLogin, adminName, adminSurname
10.0, EUR, USD, 1.0792, 10.792, 2020/05/15 04:40:01, 1, admin, admin, admin
100.0, EUR, USD, 1.0798, 107.98, 2020/05/15 23:41:21, 0, null, null, null
200.0, CHF, GBP, 0.8440787596, 168.81575192, 2020/05/15 23:41:53, 0, null, null, null
300.0, CHF, GBP, 0.8440787596, 253.22362788, 2020/05/15 23:42:40, 7885, a, a, a
500.0, PLN, GBP, 0.1943877327, 97.19386635000001, 2020/05/15 23:43:48, 7885, a, a, a
400.0, PLN, CHF, 0.2302957284, 92.11829136, 2020/05/15 23:46:18, 5090, b, b, b
250.0, PLN, EUR, 0.219731927, 54.932981749999996, 2020/05/20 13:08:59, 7885, a, a, a
4.0, EUR, USD, 1.095, 4.38, 2020/05/20 13:30:07, 1650, asd, xvcb, gdfh
211.0, PLN, CHF, 0.233640958, 49.298242138, 2020/05/20 13:32:05, 7885, a, a, a
399.0, USD, PLN, 4.1561643836, 1658.3095890564, 2020/05/20 13:43:05, 7885, a, a, a
70.5, EUR, USD, 1.095, 77.1975, 2020/05/20 14:08:46, 7885, a, a, a
5.0, EUR, USD, 1.095, 5.475, 2020/05/20 15:03:34, 7885, a, a, a
5.0, EUR, USD, 1.095, 5.475, 2020/05/20 15:06:33, 7885, a, a, a
4.525, EUR, USD, 1.095, 4.954875, 2020/05/20 15:07:51, 7885, a, a, a
5.0, EUR, USD, 1.095, 5.475, 2020/05/20 15:08:12, 7885, a, a, a
5.0, EUR, USD, 1.095, 5.475, 2020/05/20 15:09:31, 0, null, null, null
1.0, EUR, USD, 1.095, 1.095, 2020/05/20 15:10:54, 7885, a, a, a
4.0, EUR, USD, 1.095, 4.38, 2020/05/20 15:11:29, 7885, a, a, a
43.3123, EUR, USD, 1.095, 47.4269685, 2020/05/20 15:12:22, 5090, b, b, b
20.0, EUR, USD, 1.095, 21.9, 2020/05/20 17:41:15, 7885, a, a, a
300.0, EUR, GBP, 0.89535, 268.605, 2020/05/20 17:42:34, 7885, a, a, a
40.0, GBP, EUR, 1.1168816664, 44.675266656000005, 2020/05/20 17:48:26, 7885, a, a, a
41.0, USD, GBP, 0.8176712329, 33.5245205489, 2020/05/20 17:49:24, 7885, a, a, a
720.0, USD, GBP, 0.8176712329, 588.723287688, 2020/05/20 17:50:01, 5090, b, b, b
300.0, EUR, USD, 1.0958, 328.74, 2020/05/20 17:51:35, 0, null, null, null
